Property ID,Tenant ID,Tenant Name,Unit Number,Lease Start Date,Lease End Date,Rent Amount,Payment Status,Property Address,Tenant Contact Info,Property Manager ID,Property Manager Name,Location,Sale Date,Complaint ID,Complaint Date,Complaint Type,Complaint Description,Complaint Status,Assigned Personnel,Resolution Date,Resolution Description,Priority Level,Maintenance Cost
15b9ad28-8e4f-4307-bf78-d5573ad63d16,9629d7db-7b3d-4857-8395-0b99885312f3,Jerry Riddle,2695,13-11-2022,13-08-2025,991.49,Overdue,"2124 Cobb Parkways Suite 723
North Lisa, TN 33615",(650)958-5737x72844,af5f29b8-47fb-4b27-b20e-df773bcb654b,Isaac Grant,New York,,5f632c40-dcb6-4861-9ca5-d2e8de2efc6b,20-09-2023,Security,Grow fill thought medical staff.,Open,Stephen Griffin,,,High,612.7
bf2670e6-175e-4516-9cf3-7eca6333a731,9ab4f1ac-3545-4a41-b831-000ee846c5c5,Eric Kaiser,7673,17-09-2023,03-08-2026,2763.59,Overdue,"PSC 4803, Box 6412
APO AP 32795",001-461-489-2321x38890,505a1b3e-e330-4e5c-b762-050647b4309e,Rachel Martinez,Houston,,,,,,,,,,,
cacc59b3-a801-4dec-a003-7230a9608223,63b8fa99-98ce-4288-a297-b2520695fd86,Jeffrey Bender,5195,,,,Paid,"568 Madison Club
West Erin, SD 82978",654-840-9031x70031,1810d1bd-19cb-448e-86a4-115902eaca96,Levi Klein,Philadelphia,07-04-2024,3afae99a-8aa3-4e79-99fa-6bff8753a665,08-04-2024,Billing,Administration rise become get sport marriage.,In Progress,Laura Juarez,,,High,3570.39
2b6b519b-247e-4444-8534-054facf66b2e,ca5f01b7-b234-425a-9ca4-69b1b93eca76,Rita Leach,26397,18-05-2023,13-05-2026,1416.15,Overdue,"USS Charles
FPO AP 16720",001-301-368-8883x355,b9cd3c5b-f18b-4143-80d6-83aa076dcb27,Pamela Spence,Chicago,,,,,,,,,,,
38213bda-dad8-4af0-a468-d753e1c4c52e,7a6e4e3b-ca39-4adb-9fb2-2fb654a74e2b,Aaron Richmond,194,,,,Paid,"4513 Jennifer Mills
Lake Timville, VT 94870",988.555.8428x34474,de870e02-b7d3-410c-b421-28383c98262b,Anita Allen,San Diego,13-05-2023,,,,,,,,,,
47abebfe-84b4-4646-8dd0-f2de54bc411b,5ad8fd93-b509-4edf-9b6d-5eedf3ba6368,Barbara Clark,584,,,,Paid,"12692 Joshua Harbor
Barrettmouth, CT 25765",+1-428-589-3475x12635,8ca74ed0-9e4d-4382-b7b0-6b5829ec8c45,Kevin Faulkner,Houston,05-12-2023,bed7da27-ed86-4f99-8abf-1627023d605c,16-06-2023,Neighbor,Small institution civil. Human reach attack according board do figure. Yes school beat charge.,Open,Keith Ponce,,,Low,608.34
b316dc70-9b97-4371-b43f-13dbed6dbc41,dd93653c-fa1a-4034-b384-b998a98d5f04,Brian Kent,9532,,,,Paid,"Unit 3959 Box 9593
DPO AP 37885",770.322.6493,94bfc0d2-722c-49c6-84ef-449c3717c222,Justin King,San Jose,15-04-2023,,,,,,,,,,
e8b88101-228b-468d-a225-c80945f743ce,25a6b82d-73a7-4939-a534-2320f3816202,Marissa Lopez,8879,07-04-2023,15-09-2026,1035.38,Overdue,"11205 Booth Alley Suite 102
New Jessica, NM 90123",333.548.8974x50707,be39a22b-5398-41fd-a141-c9f5cf512b92,Gabrielle Gomez,New York,,bab4ff81-3814-4c55-929a-2087f12bd938,22-06-2024,Security,Crime exist future group parent seven save every.,In Progress,Matthew Gonzales,,,Low,1390.49
4449e31a-e59b-4193-b46c-285098593881,e26d829e-2021-4b36-8fc5-f4691f94aecc,Charles Cox,75211,,,,Paid,"27594 Courtney Manors
New Ritaburgh, IA 97336",(449)506-4398,486a13e7-6aff-4673-bd43-fb647b727fcb,Justin Wiggins,San Diego,11-11-2022,d85eb3c0-0ffa-4e39-983e-6ed97015a5a4,14-03-2024,Neighbor,Firm draw allow. Can movement positive table bad surface.,Open,Laura Barber,,,High,3695.88
28abde9e-629b-47cc-b01a-4a353a0a01b6,73c71dbc-5f96-46a4-a239-118cc999026f,Ronald Robertson,3209,,,,Paid,"005 Brooks Path
Sydneyport, MD 01188",001-550-997-5940x72313,9455fd31-ada6-41ca-9863-70a2240e6789,Jacqueline Goodman,Houston,12-04-2023,,,,,,,,,,
