Property ID,Property Name,Property Type,Sale/Rent Status,Sale Date,Rent Start Date,Sale Price,Monthly Rent Price,Agent ID,Agent Name,Buyer/Renter ID,Buyer/Renter Name,Buyer/Renter Contact Info,Sale/Rent Conditions,Commission,Closing Date,Lease End Date,Sale Method,Property Manager ID,Property Manager Name,Property Status,Mortgage Info,Open House Dates,Location
e55fca34-dabf-47a5-a198-425543722c2c,402 Anthony Parkways Apt. 134,Condo,Pending,,,,,ad129bac-9132-47d7-bb7a-efbdb1543c60,Meredith Peters,04b262f6-b964-435a-81fe-e048d39d1c90,Ronald Ramirez,(603)905-9165,Direct Sale,0,,,Direct Sale,1e51dc08-9425-4873-ab91-66a752ac1101,Sheila Barber,Pending,,,Los Angeles
15b9ad28-8e4f-4307-bf78-d5573ad63d16,213 Nguyen Cliffs Apt. 476,Condo,Rented,,13-11-2022,0,991.49,43ebd6df-ca5a-4aaf-9d6f-b57b807da9ed,Daniel Randolph,9629d7db-7b3d-4857-8395-0b99885312f3,Jerry Riddle,906-761-0141x621,Agent Assisted,411.64,,13-08-2025,Auction,af5f29b8-47fb-4b27-b20e-df773bcb654b,Isaac Grant,Rented,,,New York
bf2670e6-175e-4516-9cf3-7eca6333a731,094 Wilson Skyway Suite 379,Condo,Rented,,17-09-2023,0,2763.59,f5c2bfe4-51d8-4dad-b3c0-ec174a2cf3b2,Kristin Allen,9ab4f1ac-3545-4a41-b831-000ee846c5c5,Eric Kaiser,(715)910-1235x2863,Direct Sale,1741.18,,03-08-2026,Agent Assisted,505a1b3e-e330-4e5c-b762-050647b4309e,Rachel Martinez,Rented,,,Houston
6f530f86-58ba-4c2d-b3a1-86e7818566fc,333 Debra Tunnel Suite 086,Apartment,Cancelled,,,,,623fe8e3-877f-4bdc-ad2c-10868dc4c304,Karen Anderson,bb4f6c1a-3fee-4459-9dbb-bc89fb3cf3a0,Dawn Green,8079068982,Direct Sale,0,,,Auction,16778b6d-6390-42a8-9480-3894141adc63,Jason Richardson,Cancelled,,,Houston
cacc59b3-a801-4dec-a003-7230a9608223,321 Padilla Fort,Apartment,Sold,07-04-2024,,318411.73,0,967119b9-9780-4913-a992-af06e13a089d,Russell Garcia,63b8fa99-98ce-4288-a297-b2520695fd86,Jeffrey Bender,+1-579-586-6598x1130,Direct Sale,15082.29,08-02-2024,,Auction,1810d1bd-19cb-448e-86a4-115902eaca96,Levi Klein,Sold,Point by how seven reach involve hear product page water business.,11-09-2024,Philadelphia
9025805f-62c1-45d4-81cb-c1e765cc0b3c,576 Jeffrey Village Suite 641,Commercial,Pending,,,,,1bc070f8-5a4f-4202-b646-d42e20bb13be,Nathan Baker,a9fca66d-7c81-42c1-852f-27da9e2eb35e,Lori Johnson,378.784.9991,Agent Assisted,0,,,Auction,ec1f9e0d-44cf-402b-8339-3d6296dd195d,Robert Hunter,Pending,,,Philadelphia
13c2d7c6-db3a-4bfb-b1fb-358052783a27,9721 Kirsten Roads,Apartment,Pending,,,,,580267c7-ef09-4663-b34d-af9d24d58069,Sarah Jimenez,4313042a-0266-4088-a8f8-0c4c6cba9b0d,Michael Davis,794-464-6120x42326,Direct Sale,0,,,Auction,95b4e697-4dfb-4844-98e8-0a556a7ce5c5,Anthony Sanchez,Pending,,,San Jose
168b7ae7-9536-40f5-93af-eed7f61a2a85,80748 Williams Ville Suite 168,Apartment,Cancelled,,,,,98f2d84c-bc91-487b-ae0a-9e056edf6bb8,Michelle Mcguire,253b2bc7-7d65-4ab8-bf48-7d047968ba3f,Judy Bell,281.817.5979x64208,Direct Sale,0,,,Agent Assisted,b9639c93-29e1-4f8e-bd53-6167cca2be7d,Amy Sellers,Cancelled,,,Phoenix
0aac181b-b2ad-4029-bb48-8ea4dcc09782,18311 Massey Tunnel,Commercial,Pending,,,,,6588bcb6-11d9-4f6f-a5d9-afb5b95ce73e,Cynthia White,020f57b3-2fa1-4fe1-a827-504a6427f32a,Joann Phillips,892.996.2939x083,Direct Sale,0,,,Auction,493caff6-1a00-4573-a3c5-6e5315e25b20,Timothy Munoz,Pending,,,Phoenix
2b6b519b-247e-4444-8534-054facf66b2e,97294 Mcpherson Mountain,Apartment,Rented,,18-05-2023,0,1416.15,4882cf1b-74ba-42d4-b626-b4cb571c84e0,Kyle Curry,ca5f01b7-b234-425a-9ca4-69b1b93eca76,Rita Leach,001-606-950-6356x836,Direct Sale,719.24,,13-05-2026,Auction,b9cd3c5b-f18b-4143-80d6-83aa076dcb27,Pamela Spence,Rented,,,Chicago
38213bda-dad8-4af0-a468-d753e1c4c52e,2995 Marcus Summit,Apartment,Sold,13-05-2023,,289118.2,0,001ade5d-16f8-4a4c-8bc8-ff9df1a0afeb,Jessica Wilson,7a6e4e3b-ca39-4adb-9fb2-2fb654a74e2b,Aaron Richmond,(812)786-6439x380,Direct Sale,15598.92,18-08-2024,,Direct Sale,de870e02-b7d3-410c-b421-28383c98262b,Anita Allen,Sold,Ask pass act energy generation provide result consumer outside child.,16-06-2024,San Diego
47abebfe-84b4-4646-8dd0-f2de54bc411b,9732 Gordon Causeway Suite 369,Commercial,Sold,05-12-2023,,819769.86,0,14129737-da8b-41db-98df-88864210853b,Natalie Woodward,5ad8fd93-b509-4edf-9b6d-5eedf3ba6368,Barbara Clark,643.879.2884x54633,Auction,24643.17,29-06-2024,,Auction,8ca74ed0-9e4d-4382-b7b0-6b5829ec8c45,Kevin Faulkner,Sold,Soldier performance star tonight carry thus throughout himself more each.,04-08-2024,Houston
b316dc70-9b97-4371-b43f-13dbed6dbc41,7359 Palmer Locks Apt. 984,Condo,Sold,15-04-2023,,915000.31,0,da443570-803e-4421-ba3d-c8f01efa5446,Jeffery Phillips,dd93653c-fa1a-4034-b384-b998a98d5f04,Brian Kent,648-370-0821,Direct Sale,47421.58,22-02-2024,,Agent Assisted,94bfc0d2-722c-49c6-84ef-449c3717c222,Justin King,Sold,Save city already operation other control.,24-07-2024,San Jose
6037508d-2135-4ef1-872a-c710c5b85d43,40659 Knight Shoals Apt. 091,Commercial,Cancelled,,,,,f8847cd2-6ff7-47ca-bb38-77996f60d8c3,Curtis Hansen,452445b0-60a4-4c52-bd6d-917dd80cd6ac,Daniel Kim,001-411-480-7425,Direct Sale,0,,,Auction,3255f94a-0c8b-4a0f-ac5c-958a0a709404,Meghan Miles,Cancelled,,,Los Angeles
e8b88101-228b-468d-a225-c80945f743ce,75962 Herrera Squares Suite 500,Commercial,Rented,,07-04-2023,0,1035.38,ca5ba37d-8214-44f2-a31e-a81d6cb5a824,William Terry DVM,25a6b82d-73a7-4939-a534-2320f3816202,Marissa Lopez,-6473,Direct Sale,725.69,,15-09-2026,Agent Assisted,be39a22b-5398-41fd-a141-c9f5cf512b92,Gabrielle Gomez,Rented,,,New York
4449e31a-e59b-4193-b46c-285098593881,952 Brittney Drives,Condo,Sold,11-11-2022,,243288.54,0,a191c1be-54c4-4069-ab07-a139d536929d,Joshua Norman,e26d829e-2021-4b36-8fc5-f4691f94aecc,Charles Cox,+1-837-955-8817x6106,Auction,14061.37,12-05-2024,,Agent Assisted,486a13e7-6aff-4673-bd43-fb647b727fcb,Justin Wiggins,Sold,Smile full fight herself work teach perhaps they side.,18-05-2024,San Diego
28abde9e-629b-47cc-b01a-4a353a0a01b6,30922 Erickson Meadows,House,Sold,12-04-2023,,208406.38,0,cdd951a8-a9a6-445e-967b-09e8d941f0ea,Jennifer Jenkins,73c71dbc-5f96-46a4-a239-118cc999026f,Ronald Robertson,346.675.2844,Direct Sale,12038.64,04-12-2023,,Agent Assisted,9455fd31-ada6-41ca-9863-70a2240e6789,Jacqueline Goodman,Sold,Agree leader open civil spend card.,17-10-2023,Houston
2fbf1066-312a-4b6b-b6c8-e799d1cb1ede,453 Rodriguez Shoal Apt. 341,Apartment,Cancelled,,,,,2b9d6e72-1935-416c-9bce-97e2212c0c40,Michael Fry,d7c7ed84-ddcb-42e9-8176-e02522a81979,Elizabeth Mcbride,696.890.9719,Auction,0,,,Agent Assisted,be208966-47e6-4390-9fec-d0d510f271a7,Ryan Cabrera,Cancelled,,,San Diego
4d0ab6fa-a10b-4e3e-a0ea-926966fd3c09,3652 Forbes Walks,Commercial,Rented,,29-07-2023,0,2464.95,1474b679-810d-4a97-afc8-34d5bf85b764,Walter Reynolds,ec7974a9-55a4-4c35-95d4-3d2616b92e3d,Lisa Arnold,635.307.6765,Auction,1677.09,,27-09-2025,Agent Assisted,d593ab10-95a9-415e-9337-f830c0635666,Joseph Brown,Rented,,,Philadelphia
a9725338-3d8a-4767-98f0-f68e1f7dfb14,674 Melissa Ridge,Commercial,Cancelled,,,,,2dd4de9b-4731-4e1c-adf7-06722ecf3017,Nancy Santos,2f8f086b-54d3-4ad3-9b8e-941e2ba3c9f1,Brandon Cole,9987838010,Agent Assisted,0,,,Agent Assisted,96c81bc7-89b6-4df2-bb1e-0d34fa16bf8b,Cynthia Williams,Cancelled,,,New York
52a7e52e-be4b-41fd-8c63-78332f1519c3,478 Parsons Highway,Commercial,Sold,01-09-2023,,842436.11,0,5b36b1d9-c127-410f-954a-37ac54d46609,Christine Murillo,2c7fcf7d-637b-489e-8261-4db4a3d34bb9,Albert Garcia,761.796.7215x62887,Direct Sale,28377.1,05-09-2024,,Agent Assisted,49454df6-6643-4011-b920-ad09576d82da,Laura Smith,Sold,Later hand low task want.,16-01-2024,Philadelphia
84df5e9f-a93a-4a80-bca5-45d3513f9335,534 Brady Cliff,House,Pending,,,,,02c201db-10f9-4a53-8a95-c8a13d856d04,Alec Rogers,aa3dfae6-7356-4081-8eef-ce319d85df23,Whitney Johnson,307-238-8027x29469,Agent Assisted,0,,,Auction,af23f393-c40e-44fd-8f70-134d2feb353b,Alexis Palmer,Pending,,,Los Angeles
dfa0d258-809e-45ea-8ea6-674a09c2e242,455 Schmidt Run,Apartment,Cancelled,,,,,62f640e2-209b-4864-b67e-9ad9d5193115,Dr. Jessica Johnson,264d59d2-26d1-4f02-9e11-9fb5b3d56867,Tina Mason,-5745,Agent Assisted,0,,,Auction,eef80bb8-5cb6-447e-ab75-686c3d37fe2f,Anthony Bright,Cancelled,,,Philadelphia
428e8b2c-15cc-4bf4-87f1-400882cbe62e,29566 Michael Ramp,House,Rented,,28-05-2023,0,1466.6,b35693dd-6001-4e96-89a6-863cd60a9fcb,Stephanie Russell,1793624b-3e4e-4f77-87e7-d4c4a0edbbee,Christopher Johnson,-4523,Auction,1014.66,,12-09-2026,Direct Sale,1b59655c-d378-43b6-8d2e-58ae0758ef8d,Austin Finley,Rented,,,Philadelphia
b2f8521a-c238-4cb5-9910-e8552db056c7,47385 Caroline Isle Suite 044,House,Sold,11-09-2023,,424384.43,0,d6f94b01-7d3b-489d-90dd-b213c25f1a03,Michael Edwards,c584a0b5-35d5-45b3-b1ba-755b95894904,Rodney Dennis,(793)766-5912,Auction,18393.94,26-11-2023,,Direct Sale,480b9820-28ea-429d-99b7-cd1537a29b3d,Patrick Barker,Sold,Nothing out whom about north moment rock.,24-03-2024,New York
